Average,P0,P1
Index [1],dR [mm],dR [mm]
0,0,0
1,0.00394985,0.00265443
2,0.000320824,0.00352561
3,-0.000513153,-0.000625499
4,-0.00027943,0.00190615
5,0.00133104,0.00143897
6,-0.000666033,-0.00193316
7,-0.00159015,0.00244324
8,0.000191719,-0.000190081
9,0.00372789,-0.000379415
10,-0.00328464,1.91E-05
11,-0.00505995,-0.00536377
12,-0.00291956,-0.00188691
13,-0.00471505,-0.0056465
14,-0.00443563,-0.00069511
15,-0.00412318,-0.00717561
16,-0.00480597,-0.00422488
17,-0.00335752,-0.00537436
18,-0.00779202,-0.00900235
19,-0.00902628,-0.00934677
20,-0.00829811,-0.00501866
21,-0.0103863,-0.0119698
22,-0.00997553,-0.00975654
23,-0.0119699,-0.0104964
24,-0.0150099,-0.0103982
25,-0.0137429,-0.0109346
26,-0.0138652,-0.00767067
27,-0.0140107,-0.0117986
28,-0.0151562,-0.0132221
29,-0.0145848,-0.0133698
30,-0.0154761,-0.0151865
31,-0.0141661,-0.0136479
32,-0.0185986,-0.0144138
33,-0.0149585,-0.0147122
34,-0.0181745,-0.0135433
35,-0.0204649,-0.0170694
36,-0.0212631,-0.0186106
37,-0.0214203,-0.0154012
38,-0.0235675,-0.0172659
39,-0.0201903,-0.0190107
40,-0.0262144,-0.0206994
41,-0.0257001,-0.0206455
42,-0.0258311,-0.0200403
43,-0.025564,-0.0212375
44,-0.0242679,-0.0185646
45,-0.0271464,-0.0204612
46,-0.0255002,-0.0209303
47,-0.0255376,-0.0215009
48,-0.0293022,-0.0216213
49,-0.0284912,-0.0227816
50,-0.0256338,-0.0222479
51,-0.0309541,-0.0181971
52,-0.0270612,-0.0227244
53,-0.0301282,-0.0227027
54,-0.0299047,-0.0242547
55,-0.0309312,-0.0266714
56,-0.0330669,-0.023829
57,-0.0288361,-0.0242495
58,-0.0275164,-0.0254482
59,-0.0322866,-0.0255197
60,-0.0317439,-0.0319228
61,-0.0326958,-0.0287699
62,-0.0296747,-0.0256729
63,-0.0349599,-0.0256628
64,-0.0330205,-0.0259465
65,-0.0358157,-0.0281451
66,-0.0337471,-0.0284293
67,-0.0387407,-0.0308373
68,-0.0339347,-0.0306677
69,-0.0399005,-0.032405
70,-0.0397189,-0.0299515
71,-0.0435501,-0.0326011
72,-0.0423374,-0.0352704
73,-0.0438062,-0.0357203
74,-0.0419503,-0.0342031
75,-0.0441792,-0.0367699
76,-0.0459367,-0.0395574
77,-0.045698,-0.0384006
78,-0.0475656,-0.0415763
79,-0.0473866,-0.0382026
80,-0.0510457,-0.0396505
81,-0.0495458,-0.040207
82,-0.049104,-0.0414407
83,-0.0547076,-0.0414278
84,-0.054084,-0.0438643
85,-0.0575352,-0.044145
86,-0.0563331,-0.0470452
87,-0.055509,-0.0475493
88,-0.0568904,-0.0443825
89,-0.0603533,-0.0468343
90,-0.059095,-0.0502693
91,-0.0625054,-0.0495658
92,-0.0621615,-0.0516232
93,-0.0612091,-0.0505501
94,-0.0651469,-0.0537923
95,-0.0671469,-0.0500035
96,-0.0700716,-0.0578094
97,-0.0696583,-0.0576815
98,-0.0700095,-0.0567576
99,-0.0737421,-0.0613756
100,-0.0717971,-0.0614542
101,-0.0760813,-0.0606356
102,-0.0782519,-0.061655
103,-0.0768703,-0.0607605
104,-0.077927,-0.0626827
105,-0.0785689,-0.0614576
