AstroVIEW X
Type, Original
Time, 01/01/2002 12:28:49 AM
Compression, 1
Pre Sample Rate, 2000000
Post Sample Rate, 2000000
Size, 6015
Trigger, 3000001
Recorder Type, DASH 8HF
Amp Type, Isolated, Isolated, Isolated, Isolated
Units, Volts , Volts , Volts , Volts 
 SAMPLE,1:Waveform 1, 1:Waveform 2, 1:Waveform 3, 1:Waveform 4
2535057 ,-0.00150           ,0.00010            ,-0.00372           ,-0.00840           
2535058 ,-0.00820           ,-0.00533           ,-0.01053           ,-0.01020           
2535059 ,-0.01722           ,-0.01422           ,-0.01412           ,-0.01303           
2535060 ,-0.00905           ,-0.00840           ,-0.00588           ,-0.00670           
2535061 ,-0.00035           ,0.00020            ,0.00077            ,-0.00120           
2535062 ,-0.00660           ,-0.00430           ,-0.00403           ,-0.00683           
2535063 ,-0.00893           ,-0.00683           ,-0.00698           ,-0.01095           
2535064 ,-0.00222           ,-0.00045           ,-0.00455           ,-0.00960           
2535065 ,-0.00612           ,-0.00403           ,-0.00972           ,-0.01055           
2535066 ,-0.01725           ,-0.01355           ,-0.01365           ,-0.01375           
2535067 ,-0.01188           ,-0.00988           ,-0.00740           ,-0.00912           
2535068 ,-0.00155           ,-0.00057           ,0.00015            ,-0.00228           
2535069 ,-0.00603           ,-0.00377           ,-0.00327           ,-0.00622           
2535070 ,-0.01030           ,-0.00762           ,-0.00722           ,-0.01143           
2535071 ,-0.00355           ,-0.00140           ,-0.00522           ,-0.01020           
2535072 ,-0.00425           ,-0.00340           ,-0.00907           ,-0.00945           
2535073 ,-0.01535           ,-0.01358           ,-0.01303           ,-0.01193           
2535074 ,-0.01400           ,-0.01235           ,-0.00843           ,-0.00877           
2535075 ,-0.00362           ,-0.00302           ,-0.00083           ,-0.00230           
2535076 ,-0.00450           ,-0.00410           ,-0.00250           ,-0.00450           
2535077 ,-0.00972           ,-0.00850           ,-0.00740           ,-0.01040           
2535078 ,-0.00443           ,-0.00353           ,-0.00703           ,-0.01080           
2535079 ,-0.00380           ,-0.00427           ,-0.00972           ,-0.00962           
2535080 ,-0.01280           ,-0.01308           ,-0.01317           ,-0.01193           
2535081 ,-0.01517           ,-0.01393           ,-0.01020           ,-0.01000           
2535082 ,-0.00627           ,-0.00485           ,-0.00348           ,-0.00435           
2535083 ,-0.00465           ,-0.00325           ,-0.00270           ,-0.00448           
2535084 ,-0.00972           ,-0.00748           ,-0.00705           ,-0.01025           
2535085 ,-0.00683           ,-0.00483           ,-0.00870           ,-0.01298           
2535086 ,-0.00490           ,-0.00453           ,-0.01072           ,-0.01170           
2535087 ,-0.01105           ,-0.01108           ,-0.01232           ,-0.01225           
2535088 ,-0.01550           ,-0.01227           ,-0.01020           ,-0.01045           
2535089 ,-0.00817           ,-0.00480           ,-0.00445           ,-0.00625           
2535090 ,-0.00457           ,-0.00215           ,-0.00260           ,-0.00457           
2535091 ,-0.00800           ,-0.00583           ,-0.00527           ,-0.00953           
2535092 ,-0.00667           ,-0.00465           ,-0.00843           ,-0.01335           
2535093 ,-0.00412           ,-0.00472           ,-0.01082           ,-0.01280           
2535094 ,-0.00877           ,-0.00970           ,-0.01108           ,-0.01235           
2535095 ,-0.01412           ,-0.01158           ,-0.00898           ,-0.01038           
2535096 ,-0.00995           ,-0.00603           ,-0.00540           ,-0.00788           
2535097 ,-0.00535           ,-0.00265           ,-0.00252           ,-0.00543           
2535098 ,-0.00695           ,-0.00485           ,-0.00420           ,-0.00872           
2535099 ,-0.00725           ,-0.00503           ,-0.00840           ,-0.01338           
2535100 ,-0.00538           ,-0.00575           ,-0.01158           ,-0.01412           
2535101 ,-0.00812           ,-0.00967           ,-0.01095           ,-0.01235           
2535102 ,-0.01340           ,-0.01153           ,-0.00840           ,-0.00985           
2535103 ,-0.01243           ,-0.00772           ,-0.00595           ,-0.00838           
2535104 ,-0.00833           ,-0.00433           ,-0.00353           ,-0.00620           
2535105 ,-0.00693           ,-0.00455           ,-0.00325           ,-0.00788           
2535106 ,-0.00855           ,-0.00550           ,-0.00817           ,-0.01310           
2535107 ,-0.00698           ,-0.00700           ,-0.01250           ,-0.01550           
2535108 ,-0.00743           ,-0.00977           ,-0.01138           ,-0.01305           
2535109 ,-0.01085           ,-0.01117           ,-0.00785           ,-0.00967           
2535110 ,-0.01338           ,-0.00817           ,-0.00640           ,-0.00920           
2535111 ,-0.01035           ,-0.00517           ,-0.00445           ,-0.00738           
2535112 ,-0.00717           ,-0.00322           ,-0.00283           ,-0.00735           
2535113 ,-0.00780           ,-0.00395           ,-0.00695           ,-0.01108           
2535114 ,-0.00767           ,-0.00705           ,-0.01250           ,-0.01498           
2535115 ,-0.00730           ,-0.00935           ,-0.01115           ,-0.01210           
2535116 ,-0.00838           ,-0.00943           ,-0.00655           ,-0.00777           
2535117 ,-0.01365           ,-0.00800           ,-0.00548           ,-0.00755           
2535118 ,-0.01270           ,-0.00607           ,-0.00460           ,-0.00720           
2535119 ,-0.00753           ,-0.00272           ,-0.00160           ,-0.00590           
2535120 ,-0.00748           ,-0.00250           ,-0.00465           ,-0.00903           
2535121 ,-0.00903           ,-0.00735           ,-0.01205           ,-0.01495           
2535122 ,-0.00835           ,-0.01000           ,-0.01155           ,-0.01325           
2535123 ,-0.00712           ,-0.00845           ,-0.00593           ,-0.00860           
2535124 ,-0.01270           ,-0.00760           ,-0.00533           ,-0.00893           
2535125 ,-0.01400           ,-0.00777           ,-0.00680           ,-0.01012           
2535126 ,-0.00735           ,-0.00450           ,-0.00265           ,-0.00733           
2535127 ,-0.00553           ,-0.00272           ,-0.00470           ,-0.00943           
2535128 ,-0.00888           ,-0.00775           ,-0.01358           ,-0.01637           
2535129 ,-0.00920           ,-0.01127           ,-0.01422           ,-0.01548           
2535130 ,-0.00538           ,-0.00862           ,-0.00677           ,-0.00877           
2535131 ,-0.01032           ,-0.00748           ,-0.00548           ,-0.00795           
2535132 ,-0.01510           ,-0.00962           ,-0.00833           ,-0.01062           
2535133 ,-0.00885           ,-0.00593           ,-0.00365           ,-0.00767           
2535134 ,-0.00412           ,-0.00190           ,-0.00325           ,-0.00807           
2535135 ,-0.00883           ,-0.00777           ,-0.01253           ,-0.01585           
2535136 ,-0.01062           ,-0.01267           ,-0.01477           ,-0.01708           
2535137 ,-0.00445           ,-0.00898           ,-0.00648           ,-0.00907           
2535138 ,-0.00762           ,-0.00588           ,-0.00357           ,-0.00698           
2535139 ,-0.01645           ,-0.00950           ,-0.00812           ,-0.01150           
2535140 ,-0.01115           ,-0.00665           ,-0.00457           ,-0.00890           
2535141 ,-0.00372           ,-0.00083           ,-0.00252           ,-0.00675           
2535142 ,-0.00798           ,-0.00648           ,-0.01100           ,-0.01395           
2535143 ,-0.01165           ,-0.01400           ,-0.01522           ,-0.01763           
2535144 ,-0.00427           ,-0.01040           ,-0.00650           ,-0.00927           
2535145 ,-0.00483           ,-0.00527           ,-0.00255           ,-0.00548           
2535146 ,-0.01695           ,-0.00945           ,-0.00777           ,-0.01075           
2535147 ,-0.01513           ,-0.00812           ,-0.00617           ,-0.01008           
2535148 ,-0.00522           ,-0.00093           ,-0.00260           ,-0.00590           
2535149 ,-0.00775           ,-0.00488           ,-0.01030           ,-0.01227           
2535150 ,-0.01320           ,-0.01417           ,-0.01670           ,-0.01837           
2535151 ,-0.00598           ,-0.01130           ,-0.00862           ,-0.01038           
2535152 ,-0.00320           ,-0.00475           ,-0.00243           ,-0.00470           
2535153 ,-0.01555           ,-0.00862           ,-0.00770           ,-0.00995           
2535154 ,-0.01755           ,-0.01043           ,-0.00855           ,-0.01108           
2535155 ,-0.00640           ,-0.00228           ,-0.00348           ,-0.00610           
2535156 ,-0.00620           ,-0.00325           ,-0.00885           ,-0.01050           
2535157 ,-0.01348           ,-0.01367           ,-0.01682           ,-0.01845           
2535158 ,-0.00748           ,-0.01215           ,-0.00980           ,-0.01212           
2535159 ,-0.00207           ,-0.00388           ,-0.00165           ,-0.00560           
2535160 ,-0.01345           ,-0.00762           ,-0.00633           ,-0.00938           
2535161 ,-0.01867           ,-0.01080           ,-0.00930           ,-0.01255           
2535162 ,-0.00783           ,-0.00262           ,-0.00477           ,-0.00800           
2535163 ,-0.00450           ,-0.00133           ,-0.00800           ,-0.01050           
2535164 ,-0.01267           ,-0.01260           ,-0.01720           ,-0.01895           
2535165 ,-0.00880           ,-0.01390           ,-0.01270           ,-0.01430           
2535166 ,-0.00075           ,-0.00462           ,-0.00330           ,-0.00605           
2535167 ,-0.01017           ,-0.00615           ,-0.00627           ,-0.00895           
2535168 ,-0.02020           ,-0.01158           ,-0.01095           ,-0.01312           
2535169 ,-0.01112           ,-0.00455           ,-0.00703           ,-0.00922           
2535170 ,-0.00448           ,-0.00117           ,-0.00820           ,-0.00940           
2535171 ,-0.01212           ,-0.01205           ,-0.01653           ,-0.01855           
2535172 ,-0.01040           ,-0.01532           ,-0.01358           ,-0.01593           
2535173 ,-0.00117           ,-0.00548           ,-0.00367           ,-0.00675           
2535174 ,-0.00770           ,-0.00540           ,-0.00457           ,-0.00790           
2535175 ,-0.02067           ,-0.01150           ,-0.00995           ,-0.01293           
2535176 ,-0.01445           ,-0.00593           ,-0.00783           ,-0.01065           
2535177 ,-0.00557           ,-0.00057           ,-0.00727           ,-0.00933           
2535178 ,-0.01143           ,-0.01038           ,-0.01453           ,-0.01763           
2535179 ,-0.01153           ,-0.01575           ,-0.01343           ,-0.01725           
2535180 ,-0.00200           ,-0.00600           ,-0.00375           ,-0.00807           
2535181 ,-0.00567           ,-0.00338           ,-0.00295           ,-0.00755           
2535182 ,-0.02017           ,-0.00967           ,-0.00830           ,-0.01262           
2535183 ,-0.01680           ,-0.00588           ,-0.00798           ,-0.01195           
2535184 ,-0.00670           ,0.00073            ,-0.00603           ,-0.00915           
2535185 ,-0.01022           ,-0.00812           ,-0.01220           ,-0.01705           
2535186 ,-0.01272           ,-0.01648           ,-0.01377           ,-0.01800           
