"P0",
"Index [1]","dR [mm]"
0,0
1,-0.00934333
2,-0.00498581
3,-0.00855205
4,-0.00675688
5,-0.00593363
6,-0.0137539
7,-0.0176581
8,-0.0130748
9,-0.0179136
10,-0.0230499
11,-0.0250449
12,-0.0254946
13,-0.02849
14,-0.0379027
15,-0.0382827
16,-0.0315925
17,-0.0374016
18,-0.0432132
19,-0.0542113
20,-0.0483877
21,-0.0503954
22,-0.0476325
23,-0.052385
24,-0.0479656
25,-0.0541108
26,-0.0599635
27,-0.0611432
28,-0.0575782
29,-0.0735797
30,-0.0738906
31,-0.073376
32,-0.0774709
33,-0.0847274
34,-0.0976279
35,-0.0856107
36,-0.0981811
37,-0.105187
38,-0.112585
39,-0.112102
40,-0.118746
41,-0.126608
42,-0.121664
43,-0.126579
44,-0.135755
45,-0.141674
46,-0.143804
47,-0.145664
48,-0.152706
49,-0.145125
50,-0.168885
51,-0.167824
52,-0.169635
53,-0.183418
54,-0.18001
55,-0.195952
56,-0.201884
57,-0.199891
58,-0.221169
59,-0.220306
60,-0.226343
61,-0.245738
62,-0.253336
63,-0.261201
64,-0.280157
65,-0.280564
66,-0.298715
67,-0.309059
68,-0.314999
69,-0.334108
70,-0.352596
71,-0.370467
72,-0.386568
73,-0.390946
74,-0.420694
75,-0.434256
76,-0.447313
77,-0.478074
78,-0.497341
79,-0.518067
80,-0.544036
81,-0.572465
82,-0.587053
83,-0.633854
84,-0.647565
85,-0.688423
86,-0.712264
87,-0.761445
88,-0.795213
89,-0.841795
90,-0.891059
91,-0.932922
92,-0.987171
93,-1.03569
94,-1.09958
95,-1.16889
96,-1.24377
97,-1.30135
98,-1.38263
99,-1.46711
100,-1.5446
101,-1.63917
102,-1.73723
103,-1.84593
104,-1.95815
105,-2.09048
106,-2.21538
107,-2.36647
108,-2.52611
109,-2.68114
110,-2.85862
111,-3.03971
112,-3.2468
113,-3.44041
114,-3.65908
115,-3.88544
116,-4.12053
117,-4.37446
118,-4.62029
119,-4.88606
120,-5.12953
121,-5.34674
122,-5.61211
123,-5.90646
124,-6.29622
125,-6.70824
126,-7.1861
127,-7.67702
128,-8.19979
129,-8.74645
130,-9.2892
131,-9.85864
132,-10.4115
133,-10.8263
134,-11.3477
135,-11.7188
136,-11.8787
137,-11.8934
138,-11.9023
139,-11.942
140,-11.9839
141,-12.0088
142,-12.0528
143,-12.0849
144,-12.0893
145,-12.1046
146,-12.1378
147,-12.1546
148,-12.1975
149,-12.2308
150,-12.2444
151,-12.293
152,-12.3171
153,-12.3504
154,-12.3654
155,-12.3754
156,-12.3867
157,-12.4076
158,-12.4192
159,-12.4567
160,-12.446
161,-12.4939
162,-12.5206
163,-12.5212
164,-12.5292
165,-12.5696
166,-12.5403
167,-12.5238
168,-12.4765
169,-12.5356
170,-12.4652
171,-12.5074
172,-12.4358
173,-12.4397
174,-12.4145
175,-12.426
176,-12.4214
177,-12.4301
178,-12.4448
179,-12.429
180,-12.4145
181,-12.376
182,-12.4481
183,-12.4565
184,-12.4558
185,-12.4554
186,-12.399
187,-12.3684
188,-12.3889
189,-12.3983
190,-12.3811
191,-12.3792
192,-12.4155
193,-12.3269
194,-12.2862
195,-12.3141
196,-12.3367
197,-12.3066
198,-12.2938
199,-12.3124
200,-12.3136
201,-12.3383
202,-12.2896
203,-12.3086
204,-12.2966
205,-12.235
206,-12.3188
207,-12.2648
208,-12.3327
209,-12.299
210,-12.2398
211,-12.3681
212,-12.3087
213,-12.3695
214,-12.314
215,-12.2672
216,-12.2976
217,-12.2803
218,-12.2395
219,-12.1696
220,-12.1602
221,-12.1654
222,-12.1394
223,-12.1361
224,-12.0749
225,-12.1292
226,-12.1036
227,-12.1255
228,-12.0605
229,-12.0128
230,-11.9238
231,-11.9015
232,-11.9251
233,-11.9236
234,-11.8986
235,-11.8164
236,-11.8722
237,-11.8491
238,-11.8085
239,-11.7595
240,-11.7238
241,-11.6657
242,-11.6037
243,-11.5977
244,-11.4656
245,-11.5347
246,-11.5477
247,-11.4354
248,-11.3887
249,-11.2791
250,-11.2656
251,-11.309
252,-11.31
253,-11.2477
254,-11.1652
255,-11.088
256,-11.078
257,-11.1394
258,-11.1229
259,-11.036
260,-10.9762
261,-10.9683
262,-10.9909
263,-10.9856
264,-10.9224
265,-10.9021
266,-10.7882
267,-10.8179
268,-10.834
269,-10.8114
270,-10.7047
271,-10.6141
272,-10.5773
273,-10.5033
274,-10.4983
275,-10.4518
276,-10.4015
277,-10.446
278,-10.4504
279,-10.3882
280,-10.3572
281,-10.2619
282,-10.2356
283,-10.176
284,-10.14
285,-10.1051
286,-10.0332
287,-10.022
288,-10.0032
289,-9.9345
290,-9.89924
291,-9.83194
292,-9.85564
293,-9.8629
294,-9.81099
295,-9.69571
296,-9.74613
297,-9.69811
298,-9.62033
299,-9.59929
300,-9.51426
301,-9.51839
302,-9.50071
303,-9.4941
304,-9.48719
305,-9.41888
306,-9.38192
307,-9.31813
308,-9.34696
309,-9.33034
310,-9.40527
311,-9.40958
312,-9.35878
313,-9.16789
314,-9.15678
315,-9.08394
316,-9.04876
317,-9.06865
318,-9.02477
319,-9.06544
320,-9.00696
321,-8.99747
322,-8.86574
323,-8.90175
324,-8.91194
325,-8.97794
326,-8.84384
327,-8.6782
328,-8.67719
329,-8.8042
330,-8.82177
331,-8.82318
332,-8.76874
333,-8.74257
334,-8.74584
335,-8.78408
336,-8.81009
337,-8.68631
338,-8.67945
339,-8.8494
340,-8.81663
341,-8.66405
342,-8.60089
343,-8.57245
344,-8.64773
345,-8.76238
346,-8.68114
347,-8.59265
348,-8.81579
349,-8.74483
350,-8.74515
351,-8.63758
352,-8.66526
353,-8.63377
354,-8.71506
355,-8.72057
356,-8.72085
357,-8.76921
358,-8.69666
359,-8.7
360,-8.62989
361,-8.73116
362,-8.73413
363,-8.67772
364,-8.64012
365,-8.6065
366,-8.702
367,-8.67328
368,-8.61599
369,-8.51465
370,-8.52394
371,-8.60783
372,-8.65356
373,-8.48179
374,-8.51695
375,-8.49037
376,-8.64281
377,-8.58952
378,-8.48163
379,-8.56538
380,-8.58045
381,-8.56802
382,-8.60223
383,-8.56275
384,-8.63723
385,-8.62152
386,-8.5572
387,-8.49971
388,-8.49578
389,-8.45535
390,-8.54777
391,-8.50105
392,-8.52896
393,-8.5801
394,-8.40735
395,-8.44326
396,-8.53091
397,-8.61704
398,-8.63993
399,-8.45486
400,-8.50543
401,-8.51224
402,-8.58223
403,-8.70488
404,-8.63211
405,-8.63477
406,-8.63425
407,-8.6906
408,-8.69487
409,-8.65246
410,-8.71815
411,-8.80739
412,-8.73386
413,-8.67894
414,-8.61077
415,-8.63803
416,-8.7727
417,-8.80628
418,-8.71165
419,-8.64265
420,-8.64008
421,-8.78533
422,-8.77596
423,-8.63898
424,-8.65541
425,-8.74303
426,-8.93455
427,-8.82004
428,-8.73955
429,-8.79866
430,-8.91615
431,-9.02253
432,-8.84303
433,-8.84275
434,-8.79192
435,-8.92861
436,-8.91936
437,-8.82827
438,-8.84573
439,-8.83389
440,-8.7931
441,-8.89058
442,-8.86074
443,-8.82665
444,-8.9112
445,-8.76957
446,-8.8887
447,-9.0032
448,-8.89385
449,-9.00019
450,-8.92563
451,-9.10034
452,-9.0121
453,-8.96251
454,-8.88957
455,-9.01433
456,-9.00248
457,-9.07292
458,-9.10422
459,-8.89365
460,-8.9323
461,-8.98332
462,-9.21064
463,-9.22537
464,-9.18855
465,-9.11521
466,-9.14521
467,-9.19792
468,-9.0419
469,-9.1402
470,-9.28588
471,-9.29787
472,-9.23697
473,-9.20739
474,-9.48152
475,-9.63352
476,-9.63366
477,-9.39937
478,-9.36087
479,-9.48327
480,-9.68084
481,-9.61039
482,-9.51048
483,-9.61765
484,-9.60145
485,-9.62319
486,-9.70806
487,-9.72356
488,-9.80378
489,-9.8398
490,-9.94727
491,-9.6847
492,-9.71442
493,-9.72934
494,-9.91993
495,-10.0005
496,-10.0012
497,-10.0462
498,-9.927
499,-9.97966
