"P0",
"Index [1]","dR [mm]"
0,0
1,-0.00479353
2,0.00301348
3,-0.0030669
4,0.00348322
5,0.00156465
6,0.00674115
7,0.00573183
8,0.00721666
9,0.00495193
10,0.00445509
11,0.00168612
12,0.00547709
13,0.00412799
14,0.00105852
15,-0.00127123
16,0.000749381
17,0.00218551
18,0.0015621
19,-0.000177707
20,-5.64078e-05
21,0.0025439
22,0.00295092
23,0.00182998
24,0.00467647
25,0.00345018
26,0.00419906
27,0.00207753
28,0.000326403
29,-0.00512453
30,-0.000802738
31,0.0048202
32,0.00480967
33,0.00557965
34,0.00495081
35,0.00551233
36,0.00421842
37,0.00471401
38,-0.00164013
39,0.00348415
40,0.00194715
41,0.00547757
42,0.00614617
43,0.00127427
44,0.00468157
45,0.00575605
46,0.00641202
47,0.0119047
48,0.00424375
49,0.00988353
50,0.00478435
51,0.00500735
52,0.00966456
53,0.00723923
54,0.0107624
55,0.0140892
56,0.0101461
57,0.0120548
58,0.0129426
59,0.0115545
60,0.0160108
61,0.0161387
62,0.0149626
63,0.0154036
64,0.015535
65,0.0197532
66,0.0143331
67,0.015488
68,0.0196402
69,0.0144947
70,0.0219551
71,0.0203427
72,0.0208967
73,0.0209171
74,0.0266509
75,0.0228893
76,0.0214332
77,0.0279631
78,0.0276139
79,0.0221889
80,0.0328599
81,0.0329668
82,0.0331791
83,0.0337985
84,0.0307106
85,0.0355263
86,0.0362131
87,0.0326616
88,0.0331729
89,0.0367224
90,0.0401164
91,0.0402426
92,0.0420493
93,0.0493321
94,0.0547964
95,0.0553379
96,0.0568713
97,0.0624475
98,0.0604719
99,0.0696867
100,0.073903
101,0.0725671
102,0.0773056
103,0.0777804
104,0.0876563
105,0.0940083
106,0.0963821
107,0.099245
108,0.102061
109,0.106813
110,0.107818
111,0.10907
112,0.110711
113,0.109208
114,0.110407
115,0.115639
116,0.11075
117,0.110347
118,0.102902
119,0.102243
120,0.0977499
121,0.0938156
122,0.0856061
123,0.0698307
124,0.0556127
125,0.0336752
126,0.00947588
127,-0.0180415
128,-0.0660176
129,-0.125064
130,-0.223294
131,-0.364702
132,-0.564431
133,-0.779734
134,-1.03191
135,-1.33585
136,-1.69347
137,-2.03549
138,-2.29423
139,-2.48524
140,-2.61049
141,-2.79914
142,-2.98878
143,-3.1539
144,-3.25557
145,-3.33608
146,-3.44346
147,-3.51392
148,-3.63767
149,-3.76976
150,-3.9106
151,-4.06718
152,-4.17533
153,-4.31533
154,-4.38712
155,-4.42247
156,-4.47229
157,-4.53372
158,-4.64577
159,-4.70085
160,-4.79558
161,-4.88924
162,-4.96671
163,-5.05633
164,-5.08371
165,-5.18185
166,-5.19902
167,-5.21365
168,-5.32513
169,-5.4143
170,-5.44841
171,-5.58868
172,-5.67125
173,-5.78335
174,-5.88008
175,-5.97174
176,-6.02971
177,-6.10892
178,-6.17806
179,-6.22897
180,-6.2425
181,-6.30894
182,-6.34471
183,-6.34746
184,-6.43252
185,-6.51255
186,-6.50642
187,-6.53368
188,-6.61182
189,-6.64971
190,-6.69123
191,-6.75002
192,-6.76565
193,-6.76281
194,-6.81703
195,-6.86709
196,-6.89545
197,-6.93717
198,-6.98109
199,-7.04669
200,-7.03134
201,-7.06237
202,-7.08228
203,-7.11411
204,-7.13786
205,-7.10995
206,-7.17176
207,-7.2185
208,-7.17723
209,-7.15904
210,-7.22298
211,-7.19942
212,-7.20674
213,-7.17589
214,-7.1554
215,-7.17981
216,-7.17036
217,-7.1641
218,-7.1581
219,-7.17649
220,-7.1675
221,-7.15392
222,-7.16271
223,-7.16274
224,-7.09908
225,-7.13806
226,-7.11725
227,-7.14049
228,-7.16539
229,-7.14004
230,-7.16505
231,-7.11739
232,-7.05843
233,-7.12316
234,-7.13268
235,-7.14971
236,-7.11564
237,-7.13526
238,-7.13683
239,-7.14945
240,-7.16044
241,-7.17514
242,-7.1545
243,-7.12713
244,-7.08487
245,-7.08071
246,-7.01779
247,-6.98511
248,-6.96751
249,-6.92522
250,-6.91524
251,-6.90382
252,-6.95143
253,-6.92293
254,-6.85369
255,-6.8258
256,-6.82954
257,-6.8077
258,-6.8447
259,-6.76929
260,-6.80888
261,-6.81253
262,-6.86968
263,-6.81979
264,-6.76135
265,-6.78426
266,-6.76645
267,-6.74412
268,-6.78787
269,-6.77476
270,-6.79266
271,-6.76396
272,-6.78072
273,-6.83407
274,-6.81283
275,-6.81309
276,-6.82882
277,-6.79921
278,-6.80121
279,-6.76221
280,-6.7383
281,-6.75131
282,-6.72743
283,-6.73652
284,-6.69185
285,-6.64919
286,-6.65838
287,-6.69266
288,-6.66579
289,-6.67022
290,-6.66879
291,-6.69412
292,-6.63087
293,-6.70592
294,-6.70999
295,-6.66241
296,-6.71739
297,-6.69645
298,-6.66099
299,-6.63877
300,-6.66591
301,-6.65779
302,-6.68606
303,-6.76219
304,-6.69409
305,-6.63663
306,-6.65241
307,-6.75331
308,-6.74807
309,-6.70992
310,-6.75788
311,-6.85173
312,-6.75629
313,-6.72611
314,-6.75105
315,-6.74352
316,-6.71398
317,-6.70413
318,-6.7247
319,-6.69566
320,-6.72026
321,-6.71747
322,-6.73426
323,-6.74354
324,-6.7309
325,-6.68083
326,-6.76968
327,-6.73425
328,-6.76856
329,-6.79961
330,-6.76687
331,-6.77827
332,-6.76628
333,-6.7691
334,-6.76362
335,-6.72223
336,-6.76472
337,-6.80178
338,-6.80168
339,-6.76079
340,-6.78832
341,-6.77532
342,-6.81784
343,-6.87882
344,-6.87024
345,-6.8566
346,-6.85964
347,-6.87619
348,-6.90971
349,-6.89344
350,-6.92385
351,-6.89944
352,-6.91992
353,-6.8697
354,-6.84837
355,-6.91008
356,-6.88609
357,-6.91581
358,-6.83984
359,-6.88056
360,-6.86466
361,-6.89868
362,-6.95571
363,-6.97864
364,-6.97505
365,-6.96883
366,-6.94452
367,-6.93279
368,-6.95481
369,-6.9071
370,-6.97264
371,-6.94672
372,-6.88762
373,-6.9142
374,-6.95084
375,-6.99103
376,-6.93363
377,-6.97755
378,-6.96752
379,-7.00776
380,-7.02569
381,-7.04087
382,-7.08409
383,-7.01474
384,-7.07249
385,-7.06686
386,-7.03808
387,-7.07593
388,-7.10934
389,-7.11975
390,-7.10895
391,-7.13519
392,-7.18611
393,-7.18976
394,-7.20407
395,-7.19421
396,-7.24108
397,-7.30215
398,-7.42727
399,-7.38577
400,-7.4257
401,-7.43047
402,-7.47131
403,-7.46238
404,-7.4645
405,-7.52241
406,-7.55386
407,-7.48955
408,-7.57097
409,-7.56092
410,-7.5542
411,-7.62148
412,-7.68965
413,-7.65642
414,-7.62824
415,-7.69136
416,-7.73188
417,-7.691
418,-7.68668
419,-7.69895
420,-7.7345
421,-7.73424
422,-7.75725
423,-7.77634
424,-7.7675
425,-7.75984
426,-7.7615
427,-7.79372
428,-7.79626
429,-7.84813
430,-7.91473
431,-7.96452
432,-7.90925
433,-7.95444
434,-7.93372
435,-7.89063
436,-7.92078
437,-7.9328
438,-7.99338
439,-8.00146
440,-8.11599
441,-8.05009
442,-8.03638
443,-8.02352
444,-8.02714
445,-8.09017
446,-8.06527
447,-8.10388
448,-8.08955
449,-8.08751
450,-8.11425
451,-8.10647
452,-8.0557
453,-8.08317
454,-8.03484
455,-8.07287
456,-8.05675
457,-7.99708
458,-8.03977
459,-8.03
460,-8.0352
461,-8.10696
462,-8.08335
463,-8.02196
464,-8.02189
465,-8.09841
466,-8.06356
467,-8.06886
468,-8.08403
469,-8.08657
470,-8.0223
471,-8.02871
472,-8.05241
473,-8.08945
474,-8.01911
475,-8.02492
476,-8.07588
477,-8.04525
478,-7.98776
479,-8.11348
480,-8.10479
481,-8.10904
482,-8.04245
483,-8.07195
484,-8.00548
485,-8.00575
486,-8.0121
487,-7.96828
488,-7.90095
489,-7.96982
490,-7.95744
491,-7.94718
492,-7.91364
493,-7.99646
494,-8.06031
495,-8.05552
496,-7.9309
497,-7.97077
498,-7.97978
499,-8.01437
500,-8.01265
501,-7.97085
502,-8.00432
503,-8.01241
504,-7.96841
505,-7.87934
506,-7.98356
507,-8.00084
508,-7.94846
509,-7.93937
510,-7.94933
511,-7.93156
512,-7.94402
513,-7.98691
514,-7.98026
515,-8.02443
516,-8.0442
517,-8.06938
518,-7.99632
519,-8.03749
520,-8.04404
521,-7.92769
522,-7.90993
