AstroVIEW X
Type, Original
Time, 01/01/2002 12:30:04 AM
Compression, 1
Pre Sample Rate, 2000000
Post Sample Rate, 2000000
Size, 6013
Trigger, 3000001
Recorder Type, DASH 8HF
Amp Type, Isolated, Isolated, Isolated, Isolated
Units, Volts , Volts , Volts , Volts 
 SAMPLE,1:Waveform 1, 1:Waveform 2, 1:Waveform 3, 1:Waveform 4
1896986 ,-0.01945           ,0.00268            ,-0.00490           ,-0.00910           
1896987 ,-0.03108           ,-0.00993           ,-0.02058           ,-0.02518           
1896988 ,-0.03285           ,-0.02050           ,-0.02750           ,-0.03277           
1896989 ,-0.02298           ,-0.02272           ,-0.02400           ,-0.02560           
1896990 ,-0.00757           ,-0.01917           ,-0.01493           ,-0.00848           
1896991 ,0.00200            ,-0.00915           ,-0.00365           ,0.00378            
1896992 ,-0.00183           ,0.00243            ,0.00168            ,0.00380            
1896993 ,-0.01785           ,0.00353            ,-0.00540           ,-0.00853           
1896994 ,-0.03163           ,-0.00898           ,-0.02137           ,-0.02555           
1896995 ,-0.03468           ,-0.02030           ,-0.02915           ,-0.03540           
1896996 ,-0.02418           ,-0.02322           ,-0.02570           ,-0.02973           
1896997 ,-0.00788           ,-0.01958           ,-0.01613           ,-0.01300           
1896998 ,0.00298            ,-0.00903           ,-0.00438           ,0.00050            
1896999 ,0.00068            ,0.00340            ,0.00220            ,0.00118            
1897000 ,-0.01617           ,0.00540            ,-0.00407           ,-0.01117           
1897001 ,-0.03258           ,-0.00653           ,-0.01987           ,-0.02900           
1897002 ,-0.03682           ,-0.01835           ,-0.02858           ,-0.03910           
1897003 ,-0.02730           ,-0.02208           ,-0.02555           ,-0.03303           
1897004 ,-0.01103           ,-0.01945           ,-0.01627           ,-0.01525           
1897005 ,0.00137            ,-0.00972           ,-0.00377           ,0.00012            
1897006 ,0.00123            ,0.00257            ,0.00328            ,0.00282            
1897007 ,-0.01422           ,0.00500            ,-0.00228           ,-0.00835           
1897008 ,-0.03258           ,-0.00720           ,-0.01885           ,-0.02718           
1897009 ,-0.03925           ,-0.02015           ,-0.02837           ,-0.03808           
1897010 ,-0.03008           ,-0.02508           ,-0.02620           ,-0.03245           
1897011 ,-0.01335           ,-0.02227           ,-0.01693           ,-0.01415           
1897012 ,0.00057            ,-0.01245           ,-0.00422           ,0.00165            
1897013 ,0.00202            ,0.00048            ,0.00390            ,0.00525            
1897014 ,-0.01245           ,0.00410            ,-0.00070           ,-0.00585           
1897015 ,-0.03337           ,-0.00698           ,-0.01675           ,-0.02560           
1897016 ,-0.04155           ,-0.01975           ,-0.02748           ,-0.03830           
1897017 ,-0.03265           ,-0.02477           ,-0.02632           ,-0.03375           
1897018 ,-0.01560           ,-0.02245           ,-0.01750           ,-0.01630           
1897019 ,-0.00083           ,-0.01312           ,-0.00485           ,-0.00057           
1897020 ,0.00273            ,0.00048            ,0.00348            ,0.00378            
1897021 ,-0.01030           ,0.00532            ,-0.00078           ,-0.00650           
1897022 ,-0.03280           ,-0.00488           ,-0.01585           ,-0.02627           
1897023 ,-0.04333           ,-0.01760           ,-0.02655           ,-0.04055           
1897024 ,-0.03490           ,-0.02372           ,-0.02592           ,-0.03778           
1897025 ,-0.01690           ,-0.02208           ,-0.01755           ,-0.01975           
1897026 ,-0.00085           ,-0.01340           ,-0.00500           ,-0.00230           
1897027 ,0.00462            ,0.00050            ,0.00357            ,0.00290            
1897028 ,-0.00685           ,0.00568            ,-0.00038           ,-0.00665           
1897029 ,-0.03013           ,-0.00327           ,-0.01548           ,-0.02618           
1897030 ,-0.04428           ,-0.01605           ,-0.02753           ,-0.04200           
1897031 ,-0.03778           ,-0.02260           ,-0.02825           ,-0.04030           
1897032 ,-0.01965           ,-0.02200           ,-0.01993           ,-0.02308           
1897033 ,-0.00222           ,-0.01388           ,-0.00650           ,-0.00435           
1897034 ,0.00507            ,-0.00033           ,0.00300            ,0.00320            
1897035 ,-0.00422           ,0.00530            ,0.00012            ,-0.00467           
1897036 ,-0.02670           ,-0.00338           ,-0.01448           ,-0.02342           
1897037 ,-0.04305           ,-0.01595           ,-0.02687           ,-0.03997           
1897038 ,-0.03897           ,-0.02330           ,-0.02913           ,-0.04030           
1897039 ,-0.02158           ,-0.02348           ,-0.02245           ,-0.02410           
1897040 ,-0.00377           ,-0.01645           ,-0.00960           ,-0.00480           
1897041 ,0.00473            ,-0.00283           ,0.00077            ,0.00435            
1897042 ,-0.00270           ,0.00368            ,-0.00057           ,-0.00210           
1897043 ,-0.02387           ,-0.00377           ,-0.01403           ,-0.02050           
1897044 ,-0.04257           ,-0.01677           ,-0.02635           ,-0.03800           
1897045 ,-0.04047           ,-0.02453           ,-0.02960           ,-0.03963           
1897046 ,-0.02398           ,-0.02570           ,-0.02318           ,-0.02440           
1897047 ,-0.00585           ,-0.01898           ,-0.01053           ,-0.00505           
1897048 ,0.00432            ,-0.00470           ,0.00027            ,0.00512            
1897049 ,-0.00133           ,0.00312            ,-0.00030           ,-0.00050           
1897050 ,-0.02130           ,-0.00302           ,-0.01310           ,-0.01810           
1897051 ,-0.04155           ,-0.01515           ,-0.02540           ,-0.03605           
1897052 ,-0.04228           ,-0.02318           ,-0.02965           ,-0.03978           
1897053 ,-0.02645           ,-0.02535           ,-0.02400           ,-0.02645           
1897054 ,-0.00805           ,-0.01963           ,-0.01120           ,-0.00703           
1897055 ,0.00362            ,-0.00612           ,0.00032            ,0.00440            
1897056 ,0.00037            ,0.00173            ,0.00048            ,0.00025            
1897057 ,-0.01845           ,-0.00393           ,-0.01158           ,-0.01650           
1897058 ,-0.03987           ,-0.01535           ,-0.02392           ,-0.03455           
1897059 ,-0.04318           ,-0.02258           ,-0.02892           ,-0.03950           
1897060 ,-0.02863           ,-0.02413           ,-0.02472           ,-0.02755           
1897061 ,-0.00972           ,-0.01905           ,-0.01277           ,-0.00798           
1897062 ,0.00302            ,-0.00600           ,-0.00102           ,0.00460            
1897063 ,0.00120            ,0.00248            ,0.00002            ,0.00198            
1897064 ,-0.01567           ,-0.00220           ,-0.01135           ,-0.01385           
1897065 ,-0.03752           ,-0.01285           ,-0.02298           ,-0.03292           
1897066 ,-0.04383           ,-0.02035           ,-0.02825           ,-0.04142           
1897067 ,-0.03170           ,-0.02300           ,-0.02548           ,-0.03210           
1897068 ,-0.01310           ,-0.01872           ,-0.01415           ,-0.01238           
1897069 ,0.00040            ,-0.00495           ,-0.00228           ,0.00165            
1897070 ,0.00077            ,0.00407            ,-0.00038           ,0.00068            
1897071 ,-0.01325           ,-0.00067           ,-0.01088           ,-0.01403           
1897072 ,-0.03347           ,-0.01195           ,-0.02192           ,-0.03227           
1897073 ,-0.04265           ,-0.01987           ,-0.02735           ,-0.04142           
1897074 ,-0.03320           ,-0.02270           ,-0.02555           ,-0.03478           
1897075 ,-0.01575           ,-0.02055           ,-0.01553           ,-0.01672           
1897076 ,-0.00183           ,-0.00917           ,-0.00422           ,-0.00150           
1897077 ,0.00052            ,-0.00122           ,-0.00165           ,-0.00060           
1897078 ,-0.01180           ,-0.00445           ,-0.01148           ,-0.01338           
1897079 ,-0.03077           ,-0.01320           ,-0.02190           ,-0.03010           
1897080 ,-0.04190           ,-0.01890           ,-0.02710           ,-0.03895           
1897081 ,-0.03518           ,-0.02182           ,-0.02580           ,-0.03410           
1897082 ,-0.01825           ,-0.01945           ,-0.01645           ,-0.01775           
1897083 ,-0.00367           ,-0.00765           ,-0.00510           ,-0.00220           
1897084 ,0.00023            ,0.00110            ,-0.00172           ,0.00070            
1897085 ,-0.00993           ,-0.00162           ,-0.01058           ,-0.01043           
1897086 ,-0.02785           ,-0.01100           ,-0.02027           ,-0.02720           
1897087 ,-0.03963           ,-0.01700           ,-0.02550           ,-0.03640           
1897088 ,-0.03508           ,-0.01995           ,-0.02503           ,-0.03300           
1897089 ,-0.01950           ,-0.01900           ,-0.01693           ,-0.01808           
1897090 ,-0.00477           ,-0.00888           ,-0.00575           ,-0.00325           
1897091 ,-0.00015           ,-0.00020           ,-0.00220           ,-0.00025           
1897092 ,-0.00922           ,-0.00252           ,-0.01035           ,-0.01030           
1897093 ,-0.02570           ,-0.01243           ,-0.01937           ,-0.02605           
1897094 ,-0.03775           ,-0.01855           ,-0.02418           ,-0.03585           
1897095 ,-0.03587           ,-0.02072           ,-0.02345           ,-0.03520           
1897096 ,-0.02215           ,-0.01998           ,-0.01680           ,-0.02248           
1897097 ,-0.00727           ,-0.01088           ,-0.00660           ,-0.00733           
1897098 ,-0.00190           ,-0.00252           ,-0.00260           ,-0.00225           
1897099 ,-0.00920           ,-0.00445           ,-0.00970           ,-0.00965           
1897100 ,-0.02353           ,-0.01325           ,-0.01800           ,-0.02377           
1897101 ,-0.03545           ,-0.01863           ,-0.02203           ,-0.03342           
1897102 ,-0.03650           ,-0.02093           ,-0.02213           ,-0.03452           
1897103 ,-0.02530           ,-0.02082           ,-0.01675           ,-0.02387           
1897104 ,-0.01085           ,-0.01295           ,-0.00798           ,-0.00960           
1897105 ,-0.00410           ,-0.00515           ,-0.00403           ,-0.00340           
1897106 ,-0.00930           ,-0.00635           ,-0.01038           ,-0.01003           
1897107 ,-0.02250           ,-0.01462           ,-0.01798           ,-0.02342           
1897108 ,-0.03347           ,-0.01955           ,-0.02208           ,-0.03295           
1897109 ,-0.03625           ,-0.02050           ,-0.02198           ,-0.03485           
1897110 ,-0.02740           ,-0.02008           ,-0.01717           ,-0.02610           
1897111 ,-0.01382           ,-0.01275           ,-0.00893           ,-0.01267           
1897112 ,-0.00638           ,-0.00512           ,-0.00538           ,-0.00555           
1897113 ,-0.00990           ,-0.00620           ,-0.01153           ,-0.01062           
1897114 ,-0.02130           ,-0.01415           ,-0.01855           ,-0.02220           
1897115 ,-0.03123           ,-0.01853           ,-0.02200           ,-0.03140           
1897116 ,-0.03485           ,-0.01910           ,-0.02177           ,-0.03390           
1897117 ,-0.02858           ,-0.01863           ,-0.01727           ,-0.02748           
