P0,
Index [1],dR [mm]
0,0
1,0.00061292
2,-0.00264698
3,-0.00260451
4,0.000528241
5,-0.00274856
6,-0.00160232
7,-0.00460333
8,-0.000842858
9,-0.00174887
10,-0.00758225
11,-0.000371158
12,-0.00495797
13,-0.00274419
14,-0.00358036
15,-0.00159849
16,-0.00324627
17,-0.00385492
18,-0.00306054
19,-0.00716543
20,-0.00564957
21,-0.00555537
22,-0.00478548
23,-0.00605728
24,-0.00194958
25,-0.00200369
26,-0.00470039
27,-0.0100968
28,-0.00583538
29,-0.00430145
30,-0.0053516
31,-0.00418187
32,-0.00902645
33,-0.00661639
34,-0.00966585
35,-0.00642045
36,-0.00956924
37,-0.00755976
38,-0.00845907
39,-0.0107219
40,-0.0100943
41,-0.00931112
42,-0.00957286
43,-0.00740314
44,-0.0133397
45,-0.0118609
46,-0.0104762
47,-0.0055204
48,-0.0103792
49,-0.0139924
50,-0.00767008
51,-0.00449257
52,-0.0103236
53,-0.00844363
54,-0.0101608
55,-0.00898985
56,-0.0110701
57,-0.0099435
58,-0.00998632
59,-0.00724294
60,-0.00795508
61,-0.00840758
62,-0.00760918
63,-0.0129869
64,-0.00616628
65,-0.00673999
66,-0.0074906
67,-0.0119848
68,-0.0117546
69,-0.00931141
70,-0.00748287
71,-0.00618337
72,-0.00995617
73,-0.0113358
74,-0.00999731
75,-0.0158168
76,-0.0106204
77,-0.0150377
78,-0.0144905
79,-0.0145243
80,-0.0122513
81,-0.013703
82,-0.0151121
83,-0.011741
84,-0.0152064
85,-0.0137306
86,-0.0178555
87,-0.0127537
88,-0.0205789
89,-0.0160318
90,-0.0229068
91,-0.0178436
92,-0.0180688
93,-0.0197291
94,-0.0213907
95,-0.0253746
96,-0.0199239
97,-0.0256571
98,-0.0194449
99,-0.025326
100,-0.0275655
101,-0.0302523
102,-0.0269988
103,-0.0292263
104,-0.0277746
105,-0.0302162
106,-0.0274081
107,-0.0277317
108,-0.0304631
109,-0.0336615
110,-0.0327512
111,-0.0351953
112,-0.0356191
113,-0.0343324
114,-0.0365646
115,-0.032417
116,-0.0381267
117,-0.0363998
118,-0.0399919
119,-0.0369505
120,-0.0394209
121,-0.0414444
122,-0.0440924
123,-0.0448381
124,-0.0469152
125,-0.0464319
126,-0.048708
127,-0.0500656
128,-0.0530649
129,-0.0477307
130,-0.0544683
131,-0.0507337
132,-0.0549133
133,-0.0566863
134,-0.0573011
135,-0.0586952
136,-0.0639722
137,-0.0611222
138,-0.0637735
139,-0.0706342
140,-0.0653186
141,-0.0676869
142,-0.0716542
143,-0.0752804
144,-0.0744944
145,-0.0741593
146,-0.0747132
147,-0.0777318
148,-0.0795451
149,-0.0778949
150,-0.0830062
151,-0.083016
152,-0.0863853
153,-0.0943182
154,-0.0903976
155,-0.0933681
156,-0.0970194
157,-0.0999507
158,-0.106091
159,-0.106803
160,-0.111401
161,-0.114501
162,-0.114698
163,-0.115248
164,-0.119975
165,-0.123841
166,-0.130727
167,-0.130119
168,-0.138051
169,-0.143894
170,-0.146712
171,-0.151149
172,-0.157527
173,-0.157507
174,-0.167971
175,-0.174555
176,-0.180303
177,-0.187043
178,-0.195005
179,-0.201664
180,-0.205351
181,-0.218277
182,-0.227093
183,-0.235024
184,-0.239972
185,-0.245326
186,-0.261681
187,-0.273288
188,-0.285833
189,-0.29178
190,-0.305466
191,-0.319652
192,-0.33637
193,-0.351738
194,-0.368661
195,-0.385876
196,-0.402007
197,-0.419616
198,-0.442409
199,-0.463814
200,-0.482678
201,-0.509621
202,-0.536323
203,-0.563634
204,-0.595946
205,-0.623828
206,-0.659684
207,-0.699448
208,-0.73591
209,-0.784795
210,-0.829997
211,-0.885737
212,-0.942487
213,-1.01052
214,-1.07378
215,-1.14528
216,-1.21048
217,-1.289
218,-1.3771
219,-1.47094
220,-1.56868
221,-1.68088
222,-1.80187
223,-1.93751
224,-2.08582
225,-2.26525
226,-2.45002
227,-2.64921
228,-2.86631
229,-3.09988
230,-3.35974
231,-3.63841
232,-3.92543
233,-4.24784
234,-4.58283
235,-4.93247
236,-5.33087
237,-5.73101
238,-6.18697
239,-6.67783
240,-7.23195
241,-7.71839
242,-8.31829
243,-9.08763
244,-10.0039
245,-10.9944
246,-12.0008
247,-13.0027
248,-13.916
249,-14.1977
250,-14.1659
251,-14.1697
252,-14.1713
253,-14.2183
254,-14.2379
255,-14.2143
256,-14.1925
257,-14.1213
258,-14.0598
259,-13.9875
260,-13.9439
261,-13.8935
262,-13.8257
263,-13.7556
264,-13.7216
265,-13.6701
266,-13.6202
267,-13.5693
268,-13.5425
269,-13.5188
270,-13.4734
271,-13.4381
272,-13.3903
273,-13.4433
274,-13.4486
275,-13.4159
276,-13.4079
277,-13.4007
278,-13.3983
279,-13.359
280,-13.324
281,-13.3431
282,-13.3425
283,-13.3337
284,-13.2524
285,-13.2426
286,-13.212
287,-13.2189
288,-13.219
289,-13.1874
290,-13.1685
291,-13.2045
292,-13.1593
293,-13.1643
294,-13.2084
295,-13.1706
296,-13.1758
297,-13.153
298,-13.1893
299,-13.1725
300,-13.2063
301,-13.2326
302,-13.2465
303,-13.2527
304,-13.235
305,-13.2059
306,-13.2257
307,-13.2107
308,-13.2
309,-13.1895
310,-13.1518
311,-13.1998
312,-13.1755
313,-13.1817
314,-13.1889
315,-13.1581
316,-13.1543
317,-13.1146
318,-13.0854
319,-13.0983
320,-13.0409
321,-13.0109
322,-13.0225
323,-13.003
324,-12.9758
325,-12.9624
326,-12.9401
327,-12.8819
328,-12.8099
329,-12.8329
330,-12.8072
331,-12.7441
332,-12.7739
333,-12.8307
334,-12.7668
335,-12.6757
336,-12.6777
337,-12.6858
338,-12.6493
339,-12.6184
340,-12.6423
341,-12.5757
342,-12.572
343,-12.5537
344,-12.5159
345,-12.5477
346,-12.4967
347,-12.4633
348,-12.4216
349,-12.3712
350,-12.3715
351,-12.3056
352,-12.2639
353,-12.2372
354,-12.2366
355,-12.1944
356,-12.1445
357,-12.1777
358,-12.108
359,-12.0322
360,-11.975
361,-11.9536
362,-11.949
363,-11.9182
364,-11.9219
365,-11.8972
366,-11.8928
367,-11.8384
368,-11.8249
369,-11.7633
370,-11.726
371,-11.7317
372,-11.7145
373,-11.7202
374,-11.6452
375,-11.6017
376,-11.585
377,-11.6495
378,-11.6852
379,-11.5868
380,-11.5705
381,-11.543
382,-11.492
383,-11.5007
384,-11.4906
385,-11.4382
386,-11.37
387,-11.3703
388,-11.318
389,-11.2925
390,-11.2802
391,-11.2457
392,-11.2637
393,-11.2163
394,-11.1933
395,-11.2016
396,-11.2416
397,-11.1489
398,-11.1143
399,-11.173
400,-11.1395
401,-11.0872
402,-11.0889
403,-11.0473
404,-11.0068
405,-11.0055
406,-10.997
407,-11.1018
408,-11.0088
409,-10.9661
410,-10.9295
411,-10.9194
412,-10.9486
413,-10.9473
414,-11.005
415,-11.0149
416,-10.9784
417,-10.8997
418,-10.827
419,-10.8458
420,-10.8414
421,-10.7821
422,-10.6595
423,-10.6604
424,-10.6636
425,-10.7087
426,-10.6287
427,-10.5974
428,-10.537
429,-10.5829
430,-10.5229
431,-10.5446
432,-10.5525
433,-10.4785
434,-10.4838
435,-10.4664
436,-10.4492
437,-10.359
438,-10.3351
439,-10.3592
440,-10.3867
441,-10.3534
442,-10.374
443,-10.3222
444,-10.2482
445,-10.2616
446,-10.271
447,-10.2675
448,-10.3604
449,-10.3226
450,-10.2097
451,-10.2262
452,-10.1837
453,-10.2269
454,-10.2614
455,-10.1583
456,-10.2143
457,-10.1593
458,-10.0577
459,-10.1395
460,-10.1615
461,-10.1362
462,-10.0825
463,-9.94593
464,-10.0406
465,-10.0277
466,-9.98286
467,-10.1045
468,-10.0987
469,-10.0423
470,-10.0212
471,-9.98711
472,-10.0054
473,-9.96547
474,-9.97928
475,-9.87079
476,-9.9052
477,-9.89107
478,-9.80504
479,-9.91778
480,-9.88618
481,-9.88211
482,-9.87555
483,-9.91829
484,-9.91286
485,-9.93167
486,-9.91042
487,-9.9071
488,-9.86372
489,-9.88784
490,-9.82242
491,-9.84018
492,-9.81505
493,-9.87459
494,-9.87314
495,-9.82385
496,-9.92121
497,-9.95176
498,-9.85625
499,-9.8232
500,-9.89233
501,-9.95672
502,-9.99172
503,-9.96782
504,-9.9592
505,-10.0673
506,-10.014
507,-9.94975
